Kepler ID	KOI	T_dur (h)	Depth	SNR	t0 (days)	e_t0	Peiod (days)	e_period	d/R_star	e_(d/R_star)	R_p/R_Star	e_(R_p/R_Star)	b	e_b	Radius_plan	a (AU)	Teq (K)	chi	Teff	log(g)	s_Rad	Kepmag	f_Teff
12252424	153.01	2.7667	987	87.3	72.71218	9.00E-04	8.9251137	2.20E-05	15.077821	6.56557	0.03292	1.40E-03	0.833	0.305	2.47	0.076	627	1.2	4725	4.64	0.69	13.461	3
12252424	153.02	2.5968	765	101.2	61.54674	8.20E-04	4.7539935	1.10E-05	9.907601	4.31422	0.02758	1.20E-03	0.7468	0.365	2.07	0.05	773	1.24	4725	4.64	0.69	13.461	3
8030148	155.01	4.708	752	149.5	70.41394	8.60E-04	5.6606913	1.40E-05	7.245334	0.28266	0.02643	1.40E-04	0.6626	0.117	3.74	0.061	1164	1.11	5723	4.19	1.3	13.494	2
10925104	156.01	2.6487	578	54.7	76.03903	1.50E-03	8.041317	3.30E-05	18.395004	7.86483	0.02242	1.10E-03	0.6461	0.416	1.6	0.07	623	1.09	4619	4.66	0.65	13.738	2
10925104	156.02	2.4914	326	38.2	78.36347	1.90E-03	5.1885481	2.90E-05	13.735538	5.87266	0.01654	8.70E-04	0.5387	0.461	1.18	0.052	722	1.28	4619	4.66	0.65	13.738	2
10925104	156.03	2.9261	1321	131.4	75.70441	7.40E-04	11.7761469	2.40E-05	23.721962	10.14238	0.03549	1.70E-03	0.6911	0.394	2.53	0.09	549	1.41	4619	4.66	0.65	13.738	2
6541920	157.01	4.5733	759	67.6	71.17614	1.30E-03	13.024929	4.80E-05	20.961107	3.93851	0.0253	4.10E-04	0.3522	0.334	2.92	0.108	785	1.42	5685	4.38	1.06	13.709	3
6541920	157.02	5.5466	860	73.6	81.45746	1.50E-03	22.6867085	1.00E-04	30.344379	5.70159	0.0277	4.50E-04	0.3369	0.334	3.2	0.156	653	1.61	5685	4.38	1.06	13.709	3
6541920	157.03	4.3114	1401	87.5	87.15961	1.10E-03	31.9955654	1.00E-04	38.161358	7.17037	0.03784	6.20E-04	0.7901	0.221	4.37	0.196	583	2.44	5685	4.38	1.06	13.709	3
6541920	157.04	6.4943	581	40.5	158.03345	2.60E-03	46.6871223	4.00E-04	49.094032	9.22458	0.02248	4.50E-04	0.4965	0.31	2.6	0.252	514	1.17	5685	4.38	1.06	13.709	3
6541920	157.05	9.5398	1078	54	220.31606	3.80E-03	118.3638229	1.60E-03	91.280205	17.151199	0.02975	5.80E-04	0.3647	0.331	3.43	0.469	377	1.38	5685	4.38	1.06	13.709	3
6541920	157.06	4.2052	307	38.6	71.50131	2.90E-03	10.3040485	8.00E-05	17.929543	3.36889	0.0164	3.40E-04	0.3418	0.334	1.89	0.092	851	1.2	5685	4.38	1.06	13.709	3
8972058	159.01	4.1668	473	67.8	69.73635	1.70E-03	8.9909163	4.00E-05	11.794378	2.1632	0.02135	3.40E-04	0.7306	0.24	2.7	0.085	948	1.18	5823	4.31	1.16	13.431	1
8972058	159.02	1.4074	79	12.2	67.72781	3.60E-03	2.4036536	3.10E-05	4.894635	0.89772	0.01025	6.60E-04	0.9409	0.164	1.3	0.035	1478	1.07	5823	4.31	1.16	13.431	1
5084942	161.01	1.744	881	170.4	66.20947	3.90E-04	3.105509	3.90E-06	8.848952	2.38934	0.03077	1.60E-03	0.8022	0.365	2.68	0.039	981	1.16	4915	4.55	0.8	13.341	2
